어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
개미어린이집,전라남도,전라남도,목포시,215,18,전라남도 목포시 상동로 50 (상동),061-273-1143,061-276-5894,14,1,16,운영(신고),http://info.childcare.go.kr,2020-06-30
골드키즈어린이집,전라남도,전라남도,목포시,31,10,전라남도 목포시 남악1로16번길 10 골드클래스아파트단지내 (옥암동),061-283-2240,061-283-2241,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
구름요정어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 원산중앙로 109-1 501동 104호(연산동, 연산주공5단지",061-273-0149,,3,6,4,운영(신고),http://info.childcare.go.kr,2020-06-30
구생어린이집,전라남도,전라남도,목포시,95,13,"전라남도 목포시 통일대로75번길 14 101호, 201호, 301호 (옥암동, 부영아파트)",061-244-8421,061-244-8420,6,1,8,운영(신고),http://info.childcare.go.kr,2020-06-30
그린영재어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 텃골로13번길 40 석현동,근화네오빌 106동 101호",061-276-6097,061-276-6097,3,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
그린키즈어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 양을로 121 107동 105호(산정동, 종원나이스빌)",061-273-4242,061-279-4243,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
그림숲어린이집,전라남도,전라남도,목포시,125,15,전라남도 목포시 백년대로412번길 8-1,061-283-6626,061-283-0518,8,1,9,운영(신고),http://info.childcare.go.kr,2020-06-30
근화어린이집,전라남도,전라남도,목포시,99,15,전라남도 목포시 용해로6번길 11 (용당동),061-277-2600,061-277-7887,6,2,7,운영(신고),http://info.childcare.go.kr,2020-06-30
근화희망어린이집,전라남도,전라남도,목포시,39,6,전라남도 목포시 산양로 53 근화희망타운상가 1층,061-274-8687,061-274-8687,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
글로벌유아스쿨어린이집,전라남도,전라남도,목포시,191,24,전라남도 목포시 삼각로 17 (상동),061-281-6232,061-281-6232,12,1,15,운영(신고),http://info.childcare.go.kr,2020-06-30
금강어린이집,전라남도,전라남도,목포시,99,17,전라남도 목포시 관해로 31-1,061-277-6009,061-276-6019,7,2,9,운영(신고),http://info.childcare.go.kr,2020-06-30
금나래 어린이집,전라남도,전라남도,목포시,25,5,"전라남도 목포시 용해지구로88번길 23 509동1층(용해동, 골드디움5차)",061-980-7773,,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꼬마숲어린이집,전라남도,전라남도,목포시,20,5,전라남도 목포시 용당로331번길 16-1,061-274-0055,061-274-0055,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈꾸는어린이집,전라남도,전라남도,목포시,20,7,전라남도 목포시 남악1로16번길 43-14 옥암동 코아루천년가 105동 106호,061-281-2881,061-285-4881,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈나무어린이집,전라남도,전라남도,목포시,93,10,전라남도 목포시 상동로21번길 65,061-277-1174,061-276-2166,7,2,13,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈마을어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 삼학로 363 110동 104호(용해동, 신안인스빌)",061-276-3692,061-276-3692,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈사랑어린이집,전라남도,전라남도,목포시,34,5,전라남도 목포시 당가두로13번길 9 부영애시앙2차아파트 관리동내,061-282-7933,,4,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
꿈을심는어린이집,전라남도,전라남도,목포시,16,5,"전라남도 목포시 평화로153번길 9 301동 101호(옥암동, 우미블루빌)",061-285-2250,,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
네오빌영재어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 텃골로13번길 36 102동 105호(석현동, 근화네오빌여유당1차아파트)",061-284-8384,061-284-8384,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
다솜어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 당가두로13번길 7 110동 104호(옥암동, 옥암부영사랑으로1차아파트)",061-284-3002,061-284-3002,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
다윗어린이집,전라남도,전라남도,목포시,20,8,전라남도 목포시 청호로 206 신안팔레스 104동 103호,061-276-0751,061-276-0751,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
다정어린이집,전라남도,전라남도,목포시,20,6,"전라남도 목포시 하당남부로 25 111동 104호(상동, 꿈동산신안1차아파트)",061-281-3448,061-277-3669,3,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
다하클래스 어린이집,전라남도,전라남도,목포시,20,7,"전라남도 목포시 남악1로16번길 10 103동 104호(옥암동, 목포옥암골드클래스아파트)",061-281-4242,061-281-4242,3,2,4,운영(신고),http://info.childcare.go.kr,2020-06-30
대성어린이집,전라남도,전라남도,목포시,99,8,전라남도 목포시 대양로81번길 9-10,061-272-1842,061-272-1842,7,1,11,운영(신고),http://info.childcare.go.kr,2020-06-30
더좋은어린이집,전라남도,전라남도,목포시,27,9,전라남도 목포시 석현로45번길 22-10 라송센트럴카운티3차아파트  단지내 보육시설,061-281-1534,061-283-1534,3,1,4,운영(신고),http://info.childcare.go.kr,2020-06-30
도담어린이집,전라남도,전라남도,목포시,70,12,전라남도 목포시 백년대로307번길 24 (상동),061-285-7111,061-285-7140,5,2,9,운영(신고),http://info.childcare.go.kr,2020-06-30
도레미어린이집,전라남도,전라남도,목포시,20,4,"전라남도 목포시 원산중앙로 109-1 503동 101호(연산동, 연산주공5단지)",061-277-0638,061-277-0638,3,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
도토리어린이집,전라남도,전라남도,목포시,85,15,전라남도 목포시 양을로143번길 6 (산정동),061-273-4246,061-274-4246,7,2,10,운영(신고),http://info.childcare.go.kr,2020-06-30
동민어린이집,전라남도,전라남도,목포시,99,13,전라남도 목포시 용당로284번길 26 (용해동),061-272-5656,061-274-8646,5,1,7,운영(신고),http://info.childcare.go.kr,2020-06-30
동심어린이집,전라남도,전라남도,목포시,20,5,"전라남도 목포시 당가두로13번길 33 202동 101호(옥암동, 옥암부영사랑으로2차아파트)",061-282-8073,,4,0,4,운영(신고),http://info.childcare.go.kr,2020-06-30
동화나라어린이집,전라남도,전라남도,목포시,99,5,전라남도 목포시 하당로312번길 5 (옥암동) 951-22,061-283-7309,061-285-7309,12,1,20,운영(신고),http://info.childcare.go.kr,2020-06-30
동화마을어린이집,전라남도,전라남도,목포시,20,8,"전라남도 목포시 텃골로 19 203동 107호(석현동, 근화네오빌여유당2차아파트)",061-282-4933,061-282-4934,3,0,5,운영(신고),http://info.childcare.go.kr,2020-06-30
